,step,1,inf,e
0,10,220.0,220.0,334.55193916640206
1,20,840.0,840.0,1840.9372612883906
2,30,1860.0,1860.0,5025.273624391014
3,40,3280.0,3280.0,10266.786254714763
4,50,5100.0,5100.0,17883.836976443283
5,60,7320.0,7320.0,28156.518783400767
6,70,9940.0,9940.0,41337.908449751056
7,80,12960.0,12960.0,57660.671171952206
8,90,16380.0,16380.0,77341.33775026134
9,100,20200.0,20200.0,100583.26525819293
10,110,24420.0,24420.0,127578.78810758473
11,120,29040.0,29040.0,158510.8396924324
12,130,34060.0,34060.0,193554.21107534706
13,140,39480.0,39480.0,232876.55130991613
14,150,45300.0,45300.0,276639.17812739394
15,160,51520.0,51520.0,324997.7458383366
16,170,58140.0,58140.0,378102.8033815671
17,180,65160.0,65160.0,436100.2662805882
18,190,72580.0,72580.0,499131.82003855455
19,200,80400.0,80400.0,567335.2681616048
20,210,88620.0,88620.0,640844.834905455
21,220,97240.0,97240.0,719791.4305894452
22,230,106260.0,106260.0,804302.8856562682
23,240,115680.0,115680.0,894504.1584028552
24,250,125500.0,125500.0,990517.5203523661
25,260,135720.0,135720.0,1092462.7224990334
26,270,146340.0,146340.0,1200457.145080573
27,280,157360.0,157360.0,1314615.9330770336
28,290,168780.0,168780.0,1435052.1192712828
29,300,180600.0,180600.0,1561876.7364136006
30,310,192820.0,192820.0,1695198.9197952552
31,320,205440.0,205440.0,1835126.0013415974
32,330,218460.0,218460.0,1981763.5961751342
33,340,231880.0,231880.0,2135215.6824662937
34,350,245700.0,245700.0,2295584.6752788275
35,360,259920.0,259920.0,2462971.4950238457
36,370,274540.0,274540.0,2637475.6310580387
37,380,289560.0,289560.0,2819195.2008951064
